City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Nagato,JP,2022-06-28 00:03:21,34.3833,131.2,81.41,74,98,12.1
68,Vila,PT,2022-06-28 00:03:22,42.0304,-8.1588,48.7,82,2,3.74
69,Georgetown,MY,2022-06-28 00:03:22,5.4112,100.3354,80.89,82,20,5.75
70,Busselton,AU,2022-06-28 00:03:22,-33.65,115.3333,51.44,78,70,6.98
71,Jamui,IN,2022-06-28 00:03:23,24.9167,86.2167,88.12,60,99,9.91
72,Seddon,AU,2022-06-28 00:03:23,-37.8068,144.8916,50.22,83,0,10.36
73,Portland,US,2022-06-28 00:01:06,45.5234,-122.6762,95.29,28,0,10.0
74,Qaqortoq,GL,2022-06-28 00:03:24,60.7167,-46.0333,44.31,75,38,5.23
75,Hamilton,US,2022-06-28 00:03:24,39.1834,-84.5333,78.24,46,0,10.36
76,Luderitz,NA,2022-06-28 00:03:25,-26.6481,15.1594,71.2,36,0,23.62
77,Saint George,US,2022-06-27 23:59:45,37.1041,-113.5841,104.63,12,20,1.99
78,Saint-Joseph,RE,2022-06-28 00:03:25,-21.3667,55.6167,62.98,75,78,11.88
79,Yatou,CN,2022-06-28 00:03:25,37.15,122.3833,73.0,98,100,12.37
80,Goya,AR,2022-06-28 00:03:26,-29.14,-59.2626,59.34,93,100,1.81
81,Neryungri,RU,2022-06-28 00:03:26,56.6709,124.6491,66.85,71,99,1.66
82,Sinnamary,GF,2022-06-28 00:03:26,5.3833,-52.95,77.34,88,99,4.5
83,Leningradskiy,RU,2022-06-28 00:03:27,69.3833,178.4167,44.78,62,22,8.93
84,Sulangan,PH,2022-06-28 00:03:27,11.1373,123.7228,80.31,82,100,9.24
85,Tasiilaq,GL,2022-06-28 00:03:27,65.6145,-37.6368,42.96,70,71,3.83
86,Iskateley,RU,2022-06-28 00:03:28,67.6803,53.1512,38.01,82,100,16.89
87,Yashkul,RU,2022-06-28 00:03:28,46.1711,45.3435,72.37,33,100,9.28
88,Vidim,RU,2022-06-28 00:03:29,56.4088,103.1106,68.97,77,92,4.18
89,Castelo Branco,PT,2022-06-28 00:03:30,39.8222,-7.4909,56.39,65,0,4.09
90,Kapaa,US,2022-06-28 00:03:30,22.0752,-159.319,84.52,69,20,16.11
91,Khatanga,RU,2022-06-28 00:03:33,71.9667,102.5,50.47,44,6,5.84
92,Buncrana,IE,2022-06-28 00:03:33,55.1333,-7.45,53.11,95,100,16.49
93,Chokurdakh,RU,2022-06-28 00:03:34,70.6333,147.9167,53.17,36,100,4.94
94,Cape Town,ZA,2022-06-28 00:03:34,-33.9258,18.4232,59.11,53,0,5.7
95,Anadyr,RU,2022-06-28 00:03:34,64.75,177.4833,55.9,76,40,15.66
96,Klaksvik,FO,2022-06-28 00:03:35,62.2266,-6.589,50.92,91,79,14.25
97,Carstairs,CA,2022-06-28 00:03:35,51.5668,-114.102,74.5,44,56,4.0
